detail_code_or_segment,official_name,scope_type,collect_track,review_status,enabled,rationale,reviewed_at
4111330801,전해질분석기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4111340501,감마카운터,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111540101,형광광도계,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111540301,분광계,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111540401,질량분석기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111540601,자외-가시선분광광도계,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111540701,원자흡수분광광도계,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111540801,적외선분광기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111540802,근적외선분광기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111540901,핵자기공명분석기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111541101,원자방출분광기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111541301,세포분석기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4111541901,원편광이색성분광계,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111560201,전위차적정장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111560202,적정기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111560301,pH측정기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111570101,크로마토그래피디텍터,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111570301,기체크로마토그래프,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111570501,액체크로마토그래피,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111571401,오토샘플러,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111571501,시료주입기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111581101,DNA서열분석기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4111582101,미생물동정기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4111582102,미생물자동동정기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4111582301,단백질분석기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111582501,방사성동위원소정량기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111583201,항생물질검사기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4111589701,혈중암모니아측정기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4112150201,실험실용희석기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4112150401,피펫팅머신,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4112151601,분주기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4112181101,미량분석기세트,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4214329901,정자·정액분석장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4218150401,혈구계산기및자동분석시약류,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4218151001,빌리루빈측정기및자동분석시약류,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4218151401,옥시헤모글로빈분석장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4218151402,자동헤모글로빈측정기및자동분석시약류,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4218155001,실시간유전자증폭장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
